venue,avg_score
"7he Sevens Stadium, Dubai",79.0
AMI Stadium,186.33
"Achimota Senior Secondary School A Field, Accra",121.75
"Achimota Senior Secondary School B Field, Accra",119.11
Adelaide Oval,159.88
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),148.41
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),148.59
"Albert Park 1, Suva",140.92
"Albert Park 2, Suva",114.0
Albertslund Cricket Club,121.0
Allan Border Field,133.5
"Allan Border Field, Brisbane",168.0
Amini Park,133.83
"Amini Park, Port Moresby",118.12
"Arnos Vale Ground, Kingstown",143.5
"Arnos Vale Ground, Kingstown, St Vincent",140.83
Arun Jaitley Stadium,175.0
"Arun Jaitley Stadium, Delhi",216.0
Arundel Castle Cricket Club Ground,139.0
Asian Institute of Technology Ground,95.58
"Asian Institute of Technology Ground, Bangkok",29.5
"Ballpark Ground, Graz",167.5
Barabati Stadium,136.0
"Barabati Stadium, Cuttack",148.0
Barsapara Cricket Stadium,127.0
"Barsapara Cricket Stadium, Guwahati",229.5
Basin Reserve,162.0
"Basin Reserve, Wellington",156.5
Bay Oval,165.92
"Bay Oval, Mount Maunganui",150.8
Bayer Uerdingen Cricket Ground,131.53
"Bayuemas Oval, Kuala Lumpur",114.75999999999999
"Beausejour Stadium, Gros Islet",149.27
"Belgrano Athletic Club Ground, Buenos Aires",151.4
Bellerive Oval,182.33
"Bellerive Oval, Hobart",144.62
Bermuda National Stadium,141.0
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,148.75
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",149.0
Boland Bank Park,97.0
Boland Park,146.5
"Boland Park, Paarl",137.17
"Botkyrka Cricket Center, Stockholm",145.33
Botswana Cricket Association Oval 1,102.75
"Botswana Cricket Association Oval 1, Gaborone",108.64999999999999
Botswana Cricket Association Oval 2,95.75
"Botswana Cricket Association Oval 2, Gaborone",121.16
Brabourne Stadium,157.88
"Brabourne Stadium, Mumbai",185.33
Bready,171.0
"Bready Cricket Club, Magheramason",130.25
"Bready Cricket Club, Magheramason, Bready",139.44
"Brian Lara Stadium, Tarouba",130.33
"Brian Lara Stadium, Tarouba, Trinidad",146.6
"Brisbane Cricket Ground, Woolloongabba",166.4
"Brisbane Cricket Ground, Woolloongabba, Brisbane",155.8
Buffalo Park,161.0
"Buffalo Park, East London",116.7
Bulawayo Athletic Club,145.33
Carrara Oval,130.2
"Castle Avenue, Dublin",166.71
"Cazaly's Stadium, Cairns",172.0
Central Broward Regional Park Stadium Turf Ground,151.75
"Central Broward Regional Park Stadium Turf Ground, Lauderhill",166.6
"Centre for Cricket Development Ground, Windhoek",96.1
Chilaw Marians Cricket Club Ground,156.0
City Oval,133.0
"Civil Service Cricket Club, Stormont",106.86
"Civil Service Cricket Club, Stormont, Belfast",147.89
"Clayton Panama, Panama City",117.43000000000002
"Clontarf Cricket Club Ground, Dublin",155.0
College Field,120.6
"College Field, St Peter Port",178.0
Colombo Cricket Club Ground,132.5
Colts Cricket Club Ground,75.33
Coolidge Cricket Ground,154.0
"Coolidge Cricket Ground, Antigua",153.58
County Ground,144.59
"County Ground, Bristol",187.67
"County Ground, Chelmsford",139.2
"County Ground, Derby",144.67
"County Ground, Hove",125.33
"County Ground, New Road, Worcester",148.0
"County Ground, Northampton",160.5
"Daren Sammy National Cricket Stadium, Gros Islet",109.38
"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",159.19
"Darren Sammy National Cricket Stadium, St Lucia",149.33
De Beers Diamond Oval,194.0
Desert Springs Cricket Ground,159.5
"Desert Springs Cricket Ground, Almeria",120.19999999999999
"Diamond Oval, Kimberley",50.5
"Dr DY Patil Sports Academy, Mumbai",155.4
"Dr DY Patil Sports Academy, Navi Mumbai",190.33
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,104.0
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",193.5
Dreux Sport Cricket Club,143.43
Dubai International Cricket Stadium,141.42
Eden Gardens,142.29
"Eden Gardens, Kolkata",168.6
Eden Park,159.62
